ID_voie,Num_voie,Nom_voie,Code_voie
22766,58,GABRIEL PERI,0
22767,58,GALLIENI,1
22768,58,GAMBETTA,1
22769,58,GAMBETTA,15
22770,58,GENERAL DE GAULLE,0
22771,58,GENERAL LECLERC,1
22772,58,GOUFFE,4
22773,58,GRANDE RUE,6
22774,58,GRANDE RUE,8
22775,58,GUYNEMER CAZAUX,0
22776,58,HAXO,0
22777,58,JACQUES BOURGOIN,24
22778,58,JEAN ARGELIES,0
22779,58,JEAN JACQUES ROUSSEAU,0
22780,58,JEAN JAURES,1
22781,58,LOUISE MICHEL,0
22782,58,MADIER DE MONTJAU,0
22783,58,MAL FOCH,15
22784,58,MAURICE BOKANOWSKI,0
22785,58,MAURICE THOREZ,1
22786,58,MONT VERNON I,7
22787,58,NOTRE DAME,0
22788,58,OLIVIER METRA,0
22789,58,PASTEUR,15
22790,58,PAUL LAFARGUE,0
22791,58,PIERRE CATTEAU,0
22792,58,RAMEY,0
22793,58,SAINT CHARLES,0
22794,58,SAINT CYR,24
22795,58,SAINT MAUR,0
22796,58,SAINT MICHEL,15
22797,58,SYLVESTRE DUMESNIL,0
22798,580,DE LA MER,1
22799,5804,DU VIGUERAUD,5
22800,5809,BLOD,8
22801,5809,LE ROCHAS,8
22802,5810,HTS JARDINS PORTICCIO,18
22803,5815,AUX GLOVETTES,8
22804,5819,L'AQUILA,18
22805,5820,HABITATION BEAUREGARD,8
22806,5821,VILLARD LE HAUT,8
22807,583,DU VALLONET,5
22808,5830,BOIS DE LA BLACHE,8
22809,5839,DE SAINT CYPRIEN,59
22810,584,D ALSACE,1
22811,5844,LA VALLEE DE BOIS QUARRE,18
22812,5849,BETHLEEM,0
22813,5856,PIEROCEAN,18
22814,5868,MORNE CARETTE,8
22815,5869,DE LOGRIAN,3
22816,587,DE LA HUNE,0
22817,587,PREMIERE AVENUE,1
22818,5871,RAISINIER,8
22819,5875,DE SIGALON,5
22820,5879,DE LA CALADE,0
22821,588,DES BROQUETONS MFT,5
22822,589,DU BORD DE MER,3
22823,59,ALEXANDRE BERARD,0
22824,59,AU MAIRE,0
22825,59,BEAU,0
22826,59,BRANLY,24
22827,59,CHARDON LAGACHE,0
22828,59,CHARLES DE GAULLE,1
22829,59,CLAUDE BERNARD,0
22830,59,D AMIENS,0
22831,59,D HAUTPOUL,0
22832,59,DE BELLET,3
22833,59,DE BURGAULT,0
22834,59,DE CHANTEPUITS,0
22835,59,DE COURCELLES,15
22836,59,DE GRENELLE,24
22837,59,DE L ABBE LEMIRE,0
22838,59,DE L AERIUM,15
22839,59,DE L OCEAN,15
22840,59,DE L OLIVETTE,2
22841,59,DE L'EVASION,15
22842,59,DE LA FONTAINE AU ROI,0
22843,59,DE LA FRATERNITE,0
22844,59,DE LA LIBERATION,1
22845,59,DE LA LIBERTE,0
22846,59,DE LA MARNE,1
22847,59,DE LA MER,21
22848,59,DE LA MOUCHEROLLE,10
22849,59,DE LA PLAGE CAP FERRET,15
22850,59,DE LA REPUBLIQUE,1
22851,59,DE LA ROQUETTE,0
22852,59,DE LIEGE,0
22853,59,DE PARIS,1
22854,59,DE PLAISANCE,0
22855,59,DE PONTCHARRA,3
22856,59,DE SAINT MANDE,1
22857,59,DE STALINGRAD,0
22858,59,DES AIGUINARDS,0
22859,59,DES BOIS,0
22860,59,DES COURLIS,0
22861,59,DES EBISOIRES,0
22862,59,DES ENTREPRENEURS,0
22863,59,DES ETATS UNIS,1
22864,59,DES FONTANELLES,0
22865,59,DES FRERES GILLET,0
22866,59,DES PASSEMENTIERS,0
22867,59,DESNOUETTES,0
22868,59,DOCTEUR THOMAS,0
22869,59,DU CHATEAU,15
22870,59,DU DOCT EMILE ROUX,0
22871,59,DU GENERAL MANGIN,0
22872,59,DU LOGIS DE BONNEAU,1
22873,59,DU MAL JUIN,0
22874,59,DU MARECHAL JUIN,1
22875,59,DU MARECHAL LECLERC,0
22876,59,DU MARECHAL LECLERC,1
22877,59,DU MARRONNIER,0
22878,59,DU ONZE NOVEMBRE 1918,1
22879,59,DU PRE,0
22880,59,DU VERCORS,1
22881,59,DU VINGT SEPT JUIN,0
22882,59,DUGUAY TROUIN,0
22883,59,EUGENE CARRIERE,0
22884,59,FREDERIC MISTRAL,0
22885,59,GABRIEL PERI,1
22886,59,GAMBETTA,1
22887,59,GENERAL LECLERC,1
22888,59,GEORGES CLEMENCEAU,1
22889,59,GRAND CHAMPAGNE,8
22890,59,GRANDE RUE,6
22891,59,GUY MOQUET,0
22892,59,HENRI BEQUE,0
22893,59,JEAN JAURES,0
22894,59,JEAN LURCAT,12
22895,59,JULES CANTINI,1
22896,59,LE COLOMBIER,7
22897,59,LE LAGON BLEU,18
22898,59,MARCEL DASSAULT,1
22899,59,MAURICE BERTEAUX,1
22900,59,MICHEL D ORNANO,1
22901,59,NIELS BOHR,0
22902,59,ORDENER,0
22903,59,PASTEUR,0
22904,59,PAUL BERT,0
22905,59,PAUL BOUSQUET,0
22906,59,PIERRE DE COUBERTIN,0
22907,59,PINADA DEL MAR I,18
22908,59,PRESIDENT ROOSEVELT,1
22909,59,REBEVAL,0
22910,59,RENE LANGLOIS,0
22911,59,ROGER BRUN,0
22912,59,ROUBLOT,0
22913,59,SAINT MARCEL,15
22914,59,SAINTE - LUCIE,18
22915,59,SAINTE BARBE,0
22916,59,SEGUIER,0
22917,59,THIERS,0
22918,59,VICTOR HUGO,1
22919,59,VOLTAIRE,0
22920,59,WILSON,15
22921,590,DES ROCHES,5
22922,590,DU GENERAL KOENIG,0
22923,5906,DU VERT GALANT,0
22924,591,GEN DE GAULLE,1
22925,5919,L EMERAUDE MORNE PAVILLON,18
22926,5924,GIANZERRA,8
22927,5927,RES LE CAP BLEU,39
22928,5929,DES GUETTES,43
22929,593,DU BAS MOULIN,0
22930,5938,KERHILIO,8
22931,594,DES BOSSONS,3
22932,594,LE CARRY,8
22933,5941,VELTRO,8
22934,595,DE REPENTANCE,5
22935,595,DU MIDI,15
22936,5953,DE KERANROUE,7
22937,5953,NAUZES,8
22938,5955,DES ALLIES,1
22939,5965,PHILIPPE LAMOUR,9
22940,597,DE LA COTE DE GRACE,5
22941,5970,LES JARDINS DE MABOUYAS,18
22942,5973,ANSE CARITAN,8
22943,5973,LES TERRASSES DE LA MARINA,18
22944,5979,DE LA LIBERTE,0
22945,598,DE FONTCARRADE,0
22946,5986,BELLEVUE,8
22947,6,ABBE SALVETTI,0
22948,6,ADOLPHE FOCILLON,0
22949,6,AIME DE LA ROCHEFOUCAULD,2
22950,6,ALBERT 1ER,1
22951,6,ALBERT BAYET,0
22952,6,ALBERT CAMUS,0
22953,6,ALEXANDRE BONTEMPS,0
22954,6,ALEXANDRE DUMAS,0
22955,6,ALPHONSE DAUDET,0
22956,6,ALSACE LORRAINE,0
22957,6,AMAURY,10
22958,6,AMIRAL COURBET,0
22959,6,ANATOLE FRANCE,0
22960,6,ANATOLE FRANCE,1
22961,6,ANCIENNE RTE D FORCALQUIER,8
22962,6,ANDENIA,1
22963,6,ANDRE ANTOINE,0
22964,6,ANDRE DUMONT,0
22965,6,ANDRE HONNORAT,0
22966,6,ANDRE MINANGOY,36
22967,6,ANDREVON,0
22968,6,ANDRIEU,1
22969,6,ANNE DAILLON,0
22970,6,"ANNE, COMTE DE TOURVILLE",0
22971,6,ANQUETIL,0
22972,6,ANTOINE EYRAUD,0
22973,6,AQUITAINE,51
22974,6,ARAGO,15
22975,6,ARCOLE,35
22976,6,ARISTIDE BRIAND,0
22977,6,ARISTIDE MAILLOL,1
22978,6,ARTHUR BRIERE,0
22979,6,ARTHUR BUYSE,0
22980,6,ARTHUR RIMBAUD,2
22981,6,ARTHUR RIMBAUD,51
22982,6,ATLAS,2
22983,6,AUFRERY,0
22984,6,AUGUSTE RENOIR,0
22985,6,AUX LOUPS,11
22986,6,B FRANKLIN NEUV,2
22987,6,BAILLEUL,0
22988,6,BASTIAT,0
22989,6,BAUDIN,0
22990,6,BEAUMARCHAIS,0
22991,6,BEAUVERT,1
22992,6,BEGAND,0
22993,6,BELLANGER,0
22994,6,BELLEVUE,10
22995,6,BELLIARD,45
22996,6,BENOIT BUNICO,0
22997,6,BERGERE,43
22998,6,BERLIOZ,0
22999,6,BERNEX,0
23000,6,BERTRAND D'ARGENTRE,0
23001,6,BIZEAU,24
23002,6,BLAISE PASCAL,0
23003,6,BLANQUI,0
23004,6,BLAVIER,0
23005,6,BONAPARTE,0
23006,6,BONOUVRIER,0
23007,6,BONY,0
23008,6,BOSSUET,2
23009,6,BOUFFLERS,0
23010,6,BOUGAINVILLE,0
23011,6,BOULAY DE LA MEURTHE,0
23012,6,BOURGELAT,0
23013,6,BOUTARD,0
23014,6,BRAMEL,0
23015,6,BREY,0
23016,6,BROCHANT,0
23017,6,BROWN SEQUARD,0
23018,6,CADET,0
23019,6,CAMILLE CLAUDEL,9
23020,6,CAMILLE PELLETAN,12
23021,6,CAMILLE TAHAN,0
23022,6,CARNOT,0
23023,6,CARNOT,1
23024,6,CASSARD,2
23025,6,CASSINI,0
23026,6,CASTEX,0
23027,6,CAVALLOTTI,0
23028,6,CHARLES DALLERY,35
23029,6,CHARLES DE GAULLE,15
23030,6,CHARLES DELESCLUZE,0
23031,6,CHARLES DUFLOS,0
23032,6,CHARLES GOBERT,0
23033,6,CHARLES MARINIER,0
23034,6,CHARLES MOSSANT,0
23035,6,CHARLES VICTOR GAROLA,0
23036,6,CHARLES-FRANCOIS DUPUIS,0
23037,6,CHATEAU DU BOURGAILH,2
23038,6,CHATEAUBRIAND,0
23039,6,CHATEAUBRIAND,15
23040,6,CHEVREUL,0
23041,6,CLAUDE DEBUSSY,0
23042,6,CLAUDE MONET,0
23043,6,CLOS DE VERRIERES,18
23044,6,COLBERT,12
23045,6,COLETTE,12
23046,6,COLONEL FONFERRIER,0
23047,6,COMMANDANT ARNAUD,0
23048,6,COMMANDANT MAGES,0
23049,6,CONVENTIONNEL CHIAPPE,0
23050,6,COUPERIN,0
23051,6,COURTOIS,35
23052,6,COUSTOU,0
23053,6,CROIX BLANCHE,18
23054,6,CROIX DES PETITS CHAMPS,0
23055,6,CROIX VERTE,0
23056,6,D AGEN,0
23057,6,D ALESIA,45
23058,6,D ALFORTVILLE,1
23059,6,D ALIGRE,0
23060,6,D ALSACE,0
23061,6,D ANDILLY,0
23062,6,D ARIANE,0
23063,6,D ARRAS,0
23064,6,D ASSAS,0
23065,6,D AUMALE,0
23066,6,D ESTIENNE D ORVES,0
23067,6,D HAMADHAN,2
23068,6,D HAUTPOUL,0
23069,6,D OUISTREHAM,0
23070,6,D'ANJOU,51
23071,6,DANTON,0
23072,6,DANTON,2
23073,6,DAUMIER,0
23074,6,DE  NOISEMENT,51
23075,6,DE BASTIT,0
23076,6,DE BEAULIEU,0
23077,6,DE BEAUSEJOUR,45
23078,6,DE BELFORT,0
23079,6,DE BIZET,5
23080,6,DE BOIGNY,0
23081,6,DE BOISSY,0
23082,6,DE BORDEAUX,1
23083,6,DE BOUGAINVILLE,0
23084,6,DE BOURGOGNE,1
23085,6,DE BRETAGNE,12
23086,6,DE BRETAGNE,18
23087,6,DE BRETAGNE,51
23088,6,DE BRETONVILLIERS,0
23089,6,DE BRUXELLES,0
23090,6,DE CALABERT,5
23091,6,DE CAMASSON,5
23092,6,DE CASTRIES,0
